DATASET_CODE	LIMNO_RUN	LOCATION NAME	LOCATION CODE	SEASON	DATE_TIME	DEPTH (m)	PPR (ug C/L*d)	FILE NAME	DEPTH MASL
LIMNO_PPR	FRX9394L2	Lake Fryxell	FRXLT1	1	12/7/1993	12	0.09	FRXSUMRY.XLW	5.53415465
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	4	1.53	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	6	1.65	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	8	2.33	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	10	2.52	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	12	6.54	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	13	9.76	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	14	6.33	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	15	4.06	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	17	0.91	W20SUMRY.XLW	
LIMNO_PPR	WB9394L4	West Lake Bonney	BONW20	1	12/9/1993	20	0.12	W20SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	4	1.34	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	6	1.14	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	8	0.7	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	10	0.84	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	12	1.13	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	13	0.71	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	15	0.06	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	18	0.07	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	20	0	E30SUMRY.XLW	
LIMNO_PPR	EB9394L5	East Lake Bonney	BONE30	1	12/21/1993	22	0.07	E30SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	4	2.59	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	6	1.32	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	8	1.26	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	10	1.58	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	12	3.42	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	13	1.75	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	14	0.07	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	15	1.05	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	17	0	W20SUMRY.XLW	
LIMNO_PPR	WB9394L5	West Lake Bonney	BONW20	1	12/23/1993	20	0.05	W20SUMRY.XLW	
LIMNO_PPR	HOA9394L3	Lake Hoare	HORLT1	1	12/30/1993	4	0.83	HORSUMRY.XLW	70.07714319
